user_id,show_name,genre,watch_time_minutes,date
U1756,Narcos,Crime,31,2025-01-02
U0541,The Boys,Action,39,2025-03-02
U1739,Dark,Mystery,67,2025-02-21
U0429,The Witcher,Fantasy,70,2025-02-02
U0973,Peaky Blinders,Crime,51,2025-01-26
U1850,Peaky Blinders,Crime,90,2025-01-08
U0121,Narcos,Crime,24,2025-03-02
U1943,Friends,Comedy,69,2025-02-07
U0126,Peaky Blinders,Crime,90,2025-02-10
U1423,Stranger Things,Sci-Fi,34,2025-02-04
U0725,The Witcher,Fantasy,54,2025-01-28
U0885,Dark,Mystery,58,2025-02-16
U1688,The Witcher,Fantasy,36,2025-02-28
U1107,Peaky Blinders,Crime,37,2025-01-29
U1020,Dark,Mystery,61,2025-01-21
U0600,Narcos,Crime,28,2025-02-16
U0780,Peaky Blinders,Crime,18,2025-01-03
U0782,Peaky Blinders,Crime,90,2025-02-28
U1125,Dark,Mystery,76,2025-02-15
U1256,Breaking Bad,Drama,26,2025-02-03
U1177,Breaking Bad,Drama,70,2025-01-16
U1708,The Boys,Action,63,2025-01-25
U0891,Money Heist,Action,86,2025-01-20
U1382,Friends,Comedy,50,2025-01-20
U0362,The Boys,Action,61,2025-01-19
U1486,Friends,Comedy,36,2025-03-02
U1434,The Boys,Action,46,2025-02-20
U0265,Narcos,Crime,77,2025-02-14
U1342,Friends,Comedy,36,2025-02-04
U0423,Friends,Comedy,77,2025-01-23
U0884,Dark,Mystery,57,2025-01-04
U0767,Loki,Fantasy,73,2025-02-04
U1837,Narcos,Crime,65,2025-01-08
U1544,Friends,Comedy,15,2025-01-17
U0614,Narcos,Crime,43,2025-02-17
U0523,The Witcher,Fantasy,41,2025-01-25
U1917,Peaky Blinders,Crime,76,2025-02-26
U0768,Money Heist,Action,15,2025-01-15
U1160,Narcos,Crime,56,2025-02-08
U1444,The Boys,Action,46,2025-01-10
U1613,Money Heist,Action,38,2025-01-01
U0420,Friends,Comedy,46,2025-01-20
U1609,Breaking Bad,Drama,39,2025-01-28
U0742,The Boys,Action,67,2025-01-03
U0986,The Witcher,Fantasy,16,2025-01-08
U0584,Friends,Comedy,53,2025-02-23
U0845,Narcos,Crime,22,2025-01-09
U0366,Stranger Things,Sci-Fi,42,2025-01-14
U0592,Stranger Things,Sci-Fi,13,2025-01-17
U1216,Loki,Fantasy,52,2025-02-18
U0090,Breaking Bad,Drama,33,2025-02-21
U1598,Money Heist,Action,19,2025-02-01
U1366,Loki,Fantasy,24,2025-01-02
U1511,Money Heist,Action,56,2025-01-15
U0602,Breaking Bad,Drama,68,2025-02-07
U0976,Money Heist,Action,52,2025-01-06
U0618,Breaking Bad,Drama,86,2025-02-26
U0810,The Witcher,Fantasy,77,2025-01-14
U1560,The Witcher,Fantasy,29,2025-01-27
U1734,Peaky Blinders,Crime,62,2025-03-01
U0089,Friends,Comedy,53,2025-02-10
U0068,Dark,Mystery,23,2025-02-19
U0142,Breaking Bad,Drama,85,2025-01-12
U1877,Money Heist,Action,40,2025-03-01
U1095,The Witcher,Fantasy,10,2025-02-20
U1346,Narcos,Crime,83,2025-01-31
U1575,Loki,Fantasy,89,2025-01-11
U1056,Peaky Blinders,Crime,56,2025-02-16
U0917,Narcos,Crime,79,2025-02-14
U0521,Stranger Things,Sci-Fi,43,2025-01-02
U1562,The Boys,Action,58,2025-01-27
U1629,The Boys,Action,18,2025-01-20
U0793,The Witcher,Fantasy,51,2025-02-17
U0954,Breaking Bad,Drama,69,2025-01-28
U0555,Narcos,Crime,37,2025-02-07
U0684,Stranger Things,Sci-Fi,69,2025-02-10
U0991,Peaky Blinders,Crime,44,2025-02-28
U0033,Peaky Blinders,Crime,73,2025-01-03
